"","X","date","likeCount","year","popularity","time","word","sentiment"
"222",48220,17,0,2018,"normal",1,"attack","negative"
"223",48222,17,0,2018,"normal",1,"pretty","positive"
"224",48223,17,0,2018,"normal",1,"contradictory","negative"
"225",48227,17,0,2018,"normal",1,"lying","negative"
"226",48228,17,0,2018,"normal",1,"stupid","negative"
"227",48232,17,0,2018,"normal",1,"killed","negative"
"228",48233,17,0,2018,"normal",1,"killed","negative"
"229",48238,17,0,2018,"normal",1,"killing","negative"
"230",48240,17,0,2018,"normal",1,"destruction","negative"
"231",48249,17,1,2018,"normal",1,"attack","negative"
"232",48254,17,1,2018,"normal",1,"scandal","negative"
"233",48258,17,1,2018,"normal",1,"attack","negative"
"234",48262,17,0,2018,"normal",1,"fool","negative"
"235",48265,17,0,2018,"normal",1,"death","negative"
"236",48275,17,0,2018,"normal",1,"favor","positive"
"237",48281,17,0,2018,"normal",1,"trump","positive"
"238",48283,17,0,2018,"normal",1,"smart","positive"
"239",48289,17,0,2018,"normal",1,"propaganda","negative"
"240",48296,17,0,2018,"normal",1,"peace","positive"
"241",48297,17,0,2018,"normal",1,"corrupt","negative"
"242",48303,17,0,2018,"normal",1,"detest","negative"
"243",48304,17,10,2018,"good",1,"garbage","negative"
"244",48307,17,10,2018,"good",1,"sadly","negative"
"245",48308,17,10,2018,"good",1,"trustworthy","positive"
"246",48314,17,0,2018,"normal",1,"uninformed","negative"
"247",48319,17,3,2018,"good",1,"trump","positive"
"248",48320,17,3,2018,"good",1,"hypocrite","negative"
"249",48321,17,3,2018,"good",1,"ranted","negative"
"250",48323,17,3,2018,"good",1,"strike","negative"
"251",48328,17,0,2018,"normal",1,"bomb","negative"
"252",48356,17,0,2018,"normal",1,"embarrassing","negative"
"253",48360,17,0,2018,"normal",1,"nice","positive"
"254",48365,17,0,2018,"normal",1,"stormy","negative"
"255",48376,17,0,2018,"normal",1,"killing","negative"
"256",48381,17,0,2018,"normal",1,"bs","negative"
"257",48389,17,0,2018,"normal",1,"inferior","negative"
"258",48390,17,0,2018,"normal",1,"modern","positive"
"259",48398,17,0,2018,"normal",1,"awful","negative"
"260",48401,17,0,2018,"normal",1,"joke","negative"
"261",48409,17,14,2018,"good",1,"issues","negative"
"262",48411,17,14,2018,"good",1,"chaos","negative"
"263",48413,17,14,2018,"good",1,"fake","negative"
"264",48414,17,14,2018,"good",1,"rhetoric","negative"
"265",48415,17,14,2018,"good",1,"suffering","negative"
"266",48421,17,14,2018,"good",1,"break","negative"
"267",48422,17,14,2018,"good",1,"stupid","negative"
"268",48430,17,5,2018,"good",1,"embattled","negative"
"269",48431,17,5,2018,"good",1,"losing","negative"
"270",48434,17,5,2018,"good",1,"attacks","negative"
"271",48436,17,5,2018,"good",1,"bizarre","negative"
"272",48437,17,5,2018,"good",1,"bs","negative"
"273",48439,17,5,2018,"good",1,"winning","positive"
"274",48455,17,5,2018,"good",1,"attacks","negative"
"275",48456,17,5,2018,"good",1,"fake","negative"
"276",48459,17,5,2018,"good",1,"deceitfully","negative"
"277",48461,17,5,2018,"good",1,"attack","negative"
"278",48464,17,0,2018,"normal",1,"lie","negative"
"279",48467,17,0,2018,"normal",1,"beautiful","positive"
"280",48469,17,0,2018,"normal",1,"incredibly","positive"
