,textOriginal,date,likeCount,year,popularity,time
110,koom by ya mother fuckers hahaha,2014/9/24,0,2014,normal,1
111,every america has a shitty non science based opinion im a nurse and pay my taxes and love my homeland anger is world wide nothing will stop that im so sorry for your situation,2014/9/24,0,2014,normal,1
112,why isnt the us cooperating with assad they are so stupid,2014/9/23,0,2014,normal,1
113, i love america,2014/9/23,0,2014,normal,1
114,isis chops heads yes they do but america killed dred of thoamericands of innocent people with their freedom bombs the syrian government would kill isis if the us didnt fund them trained them and gave them weapons dirty games of the so called peacekeeper i wonder how they would feel if for example belgium would decide to bomb america seperatists on their own soil<U+00A0>,2014/9/23,3,2014,good,1
115,holy warriors wtf are you smoking you bunch of rapist driving around in there shit box toyotas waring masks and smelling like camel shit,2014/9/23,0,2014,normal,1
116,achmad baihaqi el yazid the soon to be dead terrorist when you visit the pedifile muhammad in hell tell him to slap his tiny cock on your forhead and also tell your imaginary god allah that were coming for him tell allah to get on all four legs and take it deep the ass like the goat in your achmads the terrorist back yard,2014/9/23,0,2014,normal,1
117,go go go americathe show must go onkill all isil scums,2014/9/23,0,2014,normal,1
118,if iraq and syria had proper millitary and werent islamic fanatics isil would never form,2014/9/23,0,2014,normal,1
119,yeah we dont like people who cut peoples heads offbig problem with thatenjoy your warthink i ill make a sandwich kick back and watch cnn great videos of isis getting some major payback figured you isis goats could of caught a few videos on youtube about the us abilities before you started your shitcheck out the videos about jdams as drones and few other choice war machines the us has dont worry if you missed it they wont miss you isis cheers,2014/9/23,0,2014,normal,1
120,goodbye isis pigs,2014/9/23,0,2014,normal,1
121,we going fuck up isisheck i wanna take on a few myself,2014/9/23,2,2014,good,1
122,turn the whole sand box in to a glowing slag pit enough time for another cramericade,2014/9/23,2,2014,good,1
123,americunts are scared of the muslim holy warriors thats why the only thing the cowards can do is attack from the sky,2014/9/23,4,2014,good,1
124,america killed  syrain civilians today  when will reprisals begin,2014/9/23,0,2014,normal,1
125,isis go meet your  year old virgins now,2014/9/23,0,2014,normal,1
126,as an america i demand obama and france to react to the recent kidnappings of french tourist in algeria who were kidnapped by islamic radicals <U+00A0>,2014/9/23,0,2014,normal,1
127,hope all those sand niggers get some ,2014/9/23,0,2014,normal,1
128,us army infantry  leads the fuckin way son,2014/9/23,0,2014,normal,1
129,god bless americaand our us army infantry and our usmc infantry can handle this problem in just  weeks top,2014/9/23,0,2014,normal,1
130,yea us just bomb anyone you wantwhen will you start boming russia,2014/9/23,0,2014,normal,1
131,fuck syria,2014/9/23,0,2014,normal,1
132,holy shit,2014/9/23,0,2014,normal,1
133,this is not humanitynot good for our ecosystem,2014/9/23,0,2014,normal,1
134,lmao so many retards in this comment selection assad was informed about the strikes beforehand he approved it us did not train isis over  nations is in this war against isis its not just america even  sunnimajority countries are joining in the fight against the extremist sunni isis groups get educated many of you shitty inferior and illiterate homo sapiens toxic knowledge and intelligence demonstrated by some of you are cancerous on the human society  god bless the america,2014/9/23,0,2014,normal,1
135,america and european scumbags get your fuck hands off syria russia hates you it is time to impose sanctions on you murderers<U+00A0>,2014/9/23,0,2014,normal,1
136,only allah knows where this ride ends allah akbar <U+00A0> my brothers in every muslim country they want you  hate your own kind i support islamic caliphate till the end im not a bomber not a istisehid i hit ya westerns with my words cuz i aint brainwashed by my own goverment want you  bad end bad finaly you go hell thats what the zionist goverment wants more souls in hell dont let youre soul be taken from the zionist media etc allah akbar  my brothers in syria and iraq allah give you strength inshallah ,2014/9/23,0,2014,normal,1
137,philistines all of you divide and conquer the lemmings<U+00A0>,2014/9/23,1,2014,normal,1
138,fuck those towel heads smell like camel cock,2014/9/23,0,2014,normal,1
139,naqib it means god is great not oh my god,2014/9/23,0,2014,normal,1
140,i hope those kiddie fiddling goat fuckers die screaming covered in fire cowardly killers hahahahhah suffer isis bitches you little jihad fuckers from the uk dont come back,2014/9/23,1,2014,normal,1
141,every country in the world america seems to have the right to interfere and kill<U+00A0> no country can interfere in america america is worse than isis,2014/9/23,0,2014,normal,1
142,tyrants dont have cruise missiles and smart bombs oh and of course nukes we do,2014/9/23,0,2014,normal,1
143,the world is family all the human siblings i pray for peace from japan,2014/9/23,0,2014,normal,1
144,hey adrian when isis cut your love ones head on live tv remind me to say no to dropping bombs at the responsible isis k we dont want to kill people but if they manage to get here to the states i bet they have people here that supports isis already but i think we should deal with it while its still a small issue lets not wait till its to late when the fighting is in our backyards semperfi ,2014/9/23,0,2014,normal,1
145,hey achmad your stupid people isis just murdered   innocent man and now payback is a bitch now you want us to leave you alone really isis is not a organized military they are thugs and terrorists we wont be bombing you idiots if you would of release the  america that they were holding hostage when the parents ales and pleaded for mercy now mercy is fuck you bad in the mouth say ahhhhh,2014/9/23,0,2014,normal,1
146,why are you says god is great when we the unite states are doing the bombings stupid isis,2014/9/23,0,2014,normal,1
147,questo ¨¨ solo linizio  troppa violenza ¨¨ stata fatta e per il califfato stanno finendo i giorni<U+00A0>,2014/9/23,0,2014,normal,1
148,has nothing to do with oil its them taking hostages and exacution them cutting there heads off and recurting people in the dam america so they can sucide bomb us u fucker get it straight,2014/9/23,0,2014,normal,1
149,caliphet never come truecuz they have nothing except fuck oilso its a shit dream of islam ,2014/9/23,0,2014,normal,1
150,obomba and his zionazi masters strikes again <U+00A0>this whole thing is too contrived and putrid <U+00A0>,2014/9/23,0,2014,normal,1
151,use white phosphorus to burn them,2014/9/23,0,2014,normal,1
152,you want sharia to rule over your land then get every fuck muslim out of countries not in the middle east then,2014/9/23,0,2014,normal,1
153,bomb the hell out of these traitors now they fuck see that you cant trust the zionist snake fuck slaughtering their arabs brothers for israel  americathe fuckers were used,2014/9/23,0,2014,normal,1
154,while the terrorists train like useless monkeys we do what we do best ha fuck destroy,2014/9/23,8,2014,good,1
155,stay untunad,2014/9/23,0,2014,normal,1
156,they need another alqaeda to keep those governments of the middleeast oil under america regime dominance  conquest they always are gonna invent a new hittler as an excuse to invade or have their population manipulated the america empire military industrial complex need to be well fed and some place to test their new weapons<U+00A0>,2014/9/23,0,2014,normal,1
157,putin should help syria and send troops and equupment there us would not do sht as officially russia would be their ally,2014/9/23,0,2014,normal,1
